id,category,dataset_type,url,frame_start,frame_end,fps,filename,dataset_split,is_valid,is_duplicate
31064,family,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,5283,5433,29.97,31064.mp4,,False,False
31065,friend,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,5632,5751,29.97,31065.mp4,,False,False
31066,funny,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,5818,5869,29.97,31066.mp4,,False,False
31067,girl,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,6254,6312,29.97,31067.mp4,,False,False
31068,girlfriend,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,6479,6568,29.97,31068.mp4,,False,False
31069,grandmother,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,6589,6699,29.97,31069.mp4,,False,False
31070,grandfather,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,6916,7065,29.97,31070.mp4,,False,False
31071,husband,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,7175,7235,29.97,31071.mp4,,False,False
31072,husband,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,7375,7465,29.97,31072.mp4,,False,False
31073,lazy,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,7645,7755,29.97,31073.mp4,,False,False
31074,man,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,7960,8078,29.97,31074.mp4,,False,False
31075,marry,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,8231,8278,29.97,31075.mp4,,False,False
31076,mother,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,8922,9032,29.97,31076.mp4,,False,False
31077,nice,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,9264,9349,29.97,31077.mp4,,False,False
31078,brother,MSASL,https://www.youtube.com/watch?v=OY1KL0vbBIo&t=135s,10150,10190,29.97,31078.mp4,,False,False
