id,category,dataset_type,url,frame_start,frame_end,fps,filename,dataset_split,is_valid,is_duplicate
0,book,WLASL,http://aslbricks.org/New/ASL-Videos/book.mp4,1,-1,25.0,0.mp4,train,True,False
2,book,WLASL,https://www.youtube.com/watch?v=0UsjUE-TXns,1,-1,25.0,2.mp4,train,True,False
4,book,WLASL,https://www.youtube.com/watch?v=aGtIHKEdCds,1,-1,25.0,4.mp4,train,True,False
5,book,WLASL,https://www.youtube.com/watch?v=hjS0dQDgbjo,2150,2249,25.0,5.mp4,train,True,False
6,book,WLASL,https://www.youtube.com/watch?v=WGfiiDgrq1I,3732,3852,25.0,6.mp4,train,True,False
10,book,WLASL,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,1,-1,25.0,10.mp4,train,True,False
17,book,WLASL,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,1,-1,25.0,17.mp4,test,True,False
22,book,WLASL,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,1,-1,25.0,22.mp4,train,True,False
24,book,WLASL,http://www.aslsearch.com/signs/videos/book.mp4,1,-1,25.0,24.mp4,train,True,False
29,book,WLASL,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,1,-1,25.0,29.mp4,train,True,False
30,book,WLASL,https://www.youtube.com/watch?v=Kwvw-K6GYW8,1,-1,25.0,30.mp4,val,True,False
31,book,WLASL,https://www.youtube.com/watch?v=XjWSfh50kAU,1,-1,25.0,31.mp4,train,True,False
40,drink,WLASL,http://aslbricks.org/New/ASL-Videos/drink.mp4,1,-1,25.0,40.mp4,train,True,False
41,drink,WLASL,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4,1,-1,25.0,41.mp4,train,True,False
42,drink,WLASL,https://www.youtube.com/watch?v=F5Wef1_PtLk,5710,5831,25.0,42.mp4,train,True,False
44,drink,WLASL,https://www.youtube.com/watch?v=KRc_WYI1DgA,1,-1,25.0,44.mp4,train,True,False
46,drink,WLASL,https://www.youtube.com/watch?v=Nc7rSopCpI8,1,-1,25.0,46.mp4,train,True,False
47,drink,WLASL,https://www.youtube.com/watch?v=537MWOtCl78,1,-1,25.0,47.mp4,train,True,False
50,drink,WLASL,https://www.youtube.com/watch?v=g3rl9_LYqzI,1,-1,25.0,50.mp4,val,True,False
