id,category,dataset_type,url,frame_start,frame_end,fps,filename,dataset_split,is_valid,is_duplicate
0_aug_0_s0.85_r-9.0_t0.04,book,WLASL,http://aslbricks.org/New/ASL-Videos/book.mp4,1,-1,25.0,0.mp4,train,True,False
0_aug_1_s1.00_r-4.1_t-0.01,book,WLASL,http://aslbricks.org/New/ASL-Videos/book.mp4,1,-1,25.0,0.mp4,train,True,False
0_aug_2_s0.95_r-0.5_t0.01,book,WLASL,http://aslbricks.org/New/ASL-Videos/book.mp4,1,-1,25.0,0.mp4,train,True,False
0_aug_3_s1.10_r7.0_t-0.01,book,WLASL,http://aslbricks.org/New/ASL-Videos/book.mp4,1,-1,25.0,0.mp4,train,True,False
2_aug_0_s0.85_r-11.2_t0.05,book,WLASL,https://www.youtube.com/watch?v=0UsjUE-TXns,1,-1,25.0,2.mp4,train,True,False
2_aug_1_s0.88_r-0.5_t-0.03,book,WLASL,https://www.youtube.com/watch?v=0UsjUE-TXns,1,-1,25.0,2.mp4,train,True,False
2_aug_2_s0.98_r-9.6_t-0.00,book,WLASL,https://www.youtube.com/watch?v=0UsjUE-TXns,1,-1,25.0,2.mp4,train,True,False
2_aug_3_s0.89_r12.4_t-0.04,book,WLASL,https://www.youtube.com/watch?v=0UsjUE-TXns,1,-1,25.0,2.mp4,train,True,False
4_aug_0_s1.04_r9.0_t-0.01,book,WLASL,https://www.youtube.com/watch?v=aGtIHKEdCds,1,-1,25.0,4.mp4,train,True,False
4_aug_1_s0.98_r11.4_t0.05,book,WLASL,https://www.youtube.com/watch?v=aGtIHKEdCds,1,-1,25.0,4.mp4,train,True,False
4_aug_2_s1.14_r-0.2_t0.05,book,WLASL,https://www.youtube.com/watch?v=aGtIHKEdCds,1,-1,25.0,4.mp4,train,True,False
4_aug_3_s0.99_r-0.3_t0.04,book,WLASL,https://www.youtube.com/watch?v=aGtIHKEdCds,1,-1,25.0,4.mp4,train,True,False
5_aug_0_s1.14_r3.7_t0.00,book,WLASL,https://www.youtube.com/watch?v=hjS0dQDgbjo,2150,2249,25.0,5.mp4,train,True,False
5_aug_1_s0.91_r-1.6_t-0.02,book,WLASL,https://www.youtube.com/watch?v=hjS0dQDgbjo,2150,2249,25.0,5.mp4,train,True,False
5_aug_2_s0.94_r-4.8_t0.03,book,WLASL,https://www.youtube.com/watch?v=hjS0dQDgbjo,2150,2249,25.0,5.mp4,train,True,False
5_aug_3_s1.05_r10.5_t0.01,book,WLASL,https://www.youtube.com/watch?v=hjS0dQDgbjo,2150,2249,25.0,5.mp4,train,True,False
6_aug_0_s0.91_r9.3_t-0.01,book,WLASL,https://www.youtube.com/watch?v=WGfiiDgrq1I,3732,3852,25.0,6.mp4,train,True,False
6_aug_1_s0.87_r7.8_t0.01,book,WLASL,https://www.youtube.com/watch?v=WGfiiDgrq1I,3732,3852,25.0,6.mp4,train,True,False
6_aug_2_s1.03_r-7.5_t-0.01,book,WLASL,https://www.youtube.com/watch?v=WGfiiDgrq1I,3732,3852,25.0,6.mp4,train,True,False
6_aug_3_s0.89_r1.0_t0.04,book,WLASL,https://www.youtube.com/watch?v=WGfiiDgrq1I,3732,3852,25.0,6.mp4,train,True,False
10_aug_0_s0.95_r-8.8_t-0.01,book,WLASL,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,1,-1,25.0,10.mp4,train,True,False
10_aug_1_s0.98_r-4.2_t-0.02,book,WLASL,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,1,-1,25.0,10.mp4,train,True,False
10_aug_2_s0.91_r-13.3_t0.01,book,WLASL,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,1,-1,25.0,10.mp4,train,True,False
10_aug_3_s0.95_r3.4_t0.01,book,WLASL,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,1,-1,25.0,10.mp4,train,True,False
17,book,WLASL,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,1,-1,25.0,17.mp4,test,True,False
22_aug_0_s1.08_r3.7_t-0.02,book,WLASL,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,1,-1,25.0,22.mp4,train,True,False
22_aug_1_s0.87_r-1.7_t0.05,book,WLASL,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,1,-1,25.0,22.mp4,train,True,False
22_aug_2_s0.88_r7.3_t0.04,book,WLASL,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,1,-1,25.0,22.mp4,train,True,False
22_aug_3_s0.86_r0.1_t0.02,book,WLASL,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,1,-1,25.0,22.mp4,train,True,False
24_aug_0_s0.93_r6.5_t0.01,book,WLASL,http://www.aslsearch.com/signs/videos/book.mp4,1,-1,25.0,24.mp4,train,True,False
24_aug_1_s0.93_r12.1_t-0.03,book,WLASL,http://www.aslsearch.com/signs/videos/book.mp4,1,-1,25.0,24.mp4,train,True,False
24_aug_2_s1.06_r1.2_t-0.02,book,WLASL,http://www.aslsearch.com/signs/videos/book.mp4,1,-1,25.0,24.mp4,train,True,False
24_aug_3_s1.11_r-6.6_t0.00,book,WLASL,http://www.aslsearch.com/signs/videos/book.mp4,1,-1,25.0,24.mp4,train,True,False
29_aug_0_s0.96_r3.2_t0.01,book,WLASL,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,1,-1,25.0,29.mp4,train,True,False
29_aug_1_s1.00_r-10.0_t0.01,book,WLASL,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,1,-1,25.0,29.mp4,train,True,False
29_aug_2_s0.97_r-6.5_t-0.03,book,WLASL,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,1,-1,25.0,29.mp4,train,True,False
29_aug_3_s1.13_r5.5_t0.05,book,WLASL,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,1,-1,25.0,29.mp4,train,True,False
30,book,WLASL,https://www.youtube.com/watch?v=Kwvw-K6GYW8,1,-1,25.0,30.mp4,val,True,False
31_aug_0_s0.93_r6.1_t-0.00,book,WLASL,https://www.youtube.com/watch?v=XjWSfh50kAU,1,-1,25.0,31.mp4,train,True,False
